id,title,department,location,required_skills,preferred_skills,education,experience_required,responsibilities,employment_type,company_name,industry,salary_range,job_posted_date,application_deadline,work_mode
1013,Frontend Engineer,Mobile Apps,"Lalitpur, Gandaki Province, Nepal","['azure', 'fastapi', 'integration testing', 'javascript', 'mysql', 'next.js', 'php', 'redis', 'rest apis', 'svelte', 'unit testing']","['next.js', 'redis', 'javascript']",master of technology,13,"Work on frontend engineer tasks, collaborate with teams, maintain code quality, and deliver features on time.",Full-time,TechNepal Ltd,Mobile Development,"NPR 1,231,891–1,788,801",2025-08-08,2025-08-27,Hybrid
1014,Product Engineer,Mobile Apps,"Kathmandu, Karnali Province, Nepal","['c#', 'ci/cd', 'fastapi', 'gcp', 'mongodb', 'monolithic apps', 'next.js', 'performance tuning', 'vue']","['next.js', 'c#', 'fastapi']",bachelor of science in computer science,3,"Work on product engineer tasks, collaborate with teams, maintain code quality, and deliver features on time.",Contract,DataSphere,IT Consulting,"NPR 1,129,320–1,734,713",2025-08-01,2025-08-27,WFH
1015,Data Engineer,Development,"Pokhara, Sudurpashchim Province, Nepal","['ci/cd', 'digitalocean', 'graphql apis', 'mongodb', 'node.js', 'performance tuning', 'python', 'svelte']","['svelte', 'node.js', 'mongodb']",master of science in it,10,"Work on data engineer tasks, collaborate with teams, maintain code quality, and deliver features on time.",Part-time,CodeWave,Software Services,"NPR 1,042,468–1,663,458",2025-08-01,2025-08-24,Onsite
1016,Product Engineer,Data Science,"Dharan, Gandaki Province, Nepal","['c#', 'digitalocean', 'django', 'dynamodb', 'express.js', 'github actions', 'graphql apis', 'heroku', 'integration testing', 'microservices', 'nuxt.js', 'postgresql']","['django', 'heroku', 'dynamodb']",bachelor of computer applications,8,"Work on product engineer tasks, collaborate with teams, maintain code quality, and deliver features on time.",Full-time,AppWorks Nepal,Software Services,"NPR 1,230,709–1,442,004",2025-08-01,2025-08-31,Onsite
1017,Data Scientist,Frontend Team,"Dang, Province No. 1, Nepal","['azure', 'ci/cd', 'javascript', 'kotlin', 'mongodb', 'ruby on rails', 'security best practices', 'svelte', 'tdd']","['mongodb', 'svelte', 'javascript']",diploma in it,8,"Work on data scientist tasks, collaborate with teams, maintain code quality, and deliver features on time.",Contract,DataSphere,Mobile Development,"NPR 1,396,062–1,814,338",2025-08-06,2025-08-23,Hybrid
1018,QA Engineer,Development,"Bhimdatta, Lumbini Province, Nepal","['aws', 'ci/cd', 'fastapi', 'go', 'mongodb', 'nuxt.js', 'tdd', 'unit testing']","['fastapi', 'nuxt.js', 'mongodb']",bachelor of computer applications,4,"Work on qa engineer tasks, collaborate with teams, maintain code quality, and deliver features on time.",Part-time,TechNepal Ltd,IT Consulting,"NPR 1,073,111–1,620,644",2025-08-04,2025-08-20,Hybrid
1019,Data Engineer,Data Science,"Nepalgunj, Bagmati Province, Nepal","['dynamodb', 'heroku', 'integration testing', 'microservices', 'scala', 'security best practices', 'spring boot', 'vue']","['heroku', 'vue', 'spring boot']",diploma in it,13,"Work on data engineer tasks, collaborate with teams, maintain code quality, and deliver features on time.",Contract,SoftVision,IT Consulting,"NPR 1,109,128–1,710,774",2025-08-04,2025-08-19,Hybrid
1020,Frontend Engineer,Frontend Team,"Ilam, Lumbini Province, Nepal","['angular', 'firebase', 'graphql apis', 'kotlin', 'mysql', 'performance tuning', 'redis', 'ruby', 'ruby on rails', 'sqlite', 'tdd']","['kotlin', 'ruby', 'mysql']",diploma in it,11,"Work on frontend engineer tasks, collaborate with teams, maintain code quality, and deliver features on time.",Full-time,SoftVision,Software Services,"NPR 873,344–1,373,648",2025-08-03,2025-08-27,Hybrid
1021,Data Engineer,Development,"Lalitpur, Karnali Province, Nepal","['angular', 'firebase', 'heroku', 'integration testing', 'rust', 'security best practices', 'spring boot', 'tdd']","['heroku', 'angular', 'rust']",master of business administration (technology),13,"Work on data engineer tasks, collaborate with teams, maintain code quality, and deliver features on time.",Contract,DataSphere,Web Development,"NPR 1,128,830–1,492,724",2025-08-02,2025-08-20,Onsite
1022,Full Stack Engineer,Frontend Team,"Butwal, Karnali Province, Nepal","['c#', 'ci/cd', 'fastapi', 'firebase', 'laravel', 'microservices', 'python', 'rest apis', 'ruby on rails', 'vue']","['c#', 'python', 'firebase']",master of business administration (technology),0,"Work on full stack engineer tasks, collaborate with teams, maintain code quality, and deliver features on time.",Contract,CodeWave,Web Development,"NPR 1,125,078–1,420,818",2025-08-05,2025-09-02,Onsite
1023,DevOps Engineer,Development,"Jumla, Sudurpashchim Province, Nepal","['firebase', 'java', 'microservices', 'mongodb', 'monolithic apps', 'react', 'redis', 'spring boot', 'unit testing']","['java', 'spring boot', 'mongodb']",bachelor of computer applications,1,"Work on devops engineer tasks, collaborate with teams, maintain code quality, and deliver features on time.",Full-time,DataSphere,Web Development,"NPR 1,474,480–1,991,667",2025-08-03,2025-08-27,Onsite
1024,Data Engineer,Backend Team,"Dharan, Lumbini Province, Nepal","['azure', 'bootstrap', 'firebase', 'graphql apis', 'grpc', 'javascript', 'laravel', 'next.js', 'scaling', 'security best practices', 'typescript']","['grpc', 'azure', 'bootstrap']",master of science in it,11,"Work on data engineer tasks, collaborate with teams, maintain code quality, and deliver features on time.",Contract,CodeWave,Mobile Development,"NPR 1,325,090–2,116,355",2025-08-05,2025-09-04,WFH
1025,Product Engineer,Mobile Apps,"Mahendranagar, Lumbini Province, Nepal","['azure', 'graphql apis', 'node.js', 'nuxt.js', 'redis', 'rust', 'security best practices', 'tdd']","['azure', 'node.js', 'rust']",diploma in it,6,"Work on product engineer tasks, collaborate with teams, maintain code quality, and deliver features on time.",Part-time,SoftVision,Web Development,"NPR 1,472,299–2,270,154",2025-08-07,2025-09-06,Hybrid
1026,Full Stack Engineer,Development,"Nepalgunj, Sudurpashchim Province, Nepal","['aws', 'azure', 'dynamodb', 'firebase', 'flask', 'gcp', 'php', 'scaling', 'security best practices', 'svelte', 'unit testing']","['svelte', 'php', 'dynamodb']",bim,0,"Work on full stack engineer tasks, collaborate with teams, maintain code quality, and deliver features on time.",Full-time,DataSphere,Mobile Development,"NPR 1,019,833–1,501,032",2025-08-08,2025-08-27,WFH
1027,DevOps Engineer,Development,"Bhimdatta, Karnali Province, Nepal","['angular', 'azure', 'firebase', 'rust', 'scaling', 'security best practices', 'spring boot', 'unit testing']","['firebase', 'azure', 'rust']",master of technology,4,"Work on devops engineer tasks, collaborate with teams, maintain code quality, and deliver features on time.",Contract,AppWorks Nepal,Data Analytics,"NPR 895,733–1,629,547",2025-08-08,2025-08-29,Onsite
1028,Mobile Developer,Mobile Apps,"Dang, Lumbini Province, Nepal","['digitalocean', 'express.js', 'integration testing', 'java', 'jenkins', 'monolithic apps', 'mysql', 'react', 'security best practices', 'swift', 'terraform']","['jenkins', 'terraform', 'express.js']",master of business administration (technology),2,"Work on mobile developer tasks, collaborate with teams, maintain code quality, and deliver features on time.",Full-time,SoftVision,Web Development,"NPR 986,981–1,580,131",2025-08-07,2025-08-26,Hybrid
1029,Software Engineer,Backend Team,"Lalitpur, Sudurpashchim Province, Nepal","['dynamodb', 'express.js', 'firebase', 'graphql apis', 'microservices', 'python', 'security best practices', 'vue']","['express.js', 'dynamodb', 'firebase']",diploma in it,9,"Work on software engineer tasks, collaborate with teams, maintain code quality, and deliver features on time.",Part-time,AppWorks Nepal,Data Analytics,"NPR 1,084,735–1,683,833",2025-08-02,2025-08-22,Hybrid
1030,Data Engineer,Data Science,"Nepalgunj, Madhesh Province, Nepal","['firebase', 'integration testing', 'java', 'nuxt.js', 'redis', 'scaling', 'spring boot', 'unit testing']","['nuxt.js', 'spring boot', 'redis']",bim,13,"Work on data engineer tasks, collaborate with teams, maintain code quality, and deliver features on time.",Full-time,SoftVision,Mobile Development,"NPR 1,298,596–1,954,797",2025-08-10,2025-09-01,Hybrid
1031,QA Engineer,Backend Team,"Bhimdatta, Gandaki Province, Nepal","['c#', 'express.js', 'firebase', 'microservices', 'mongodb', 'nuxt.js', 'rest apis', 'security best practices']","['c#', 'mongodb', 'nuxt.js']",diploma in it,11,"Work on qa engineer tasks, collaborate with teams, maintain code quality, and deliver features on time.",Full-time,DataSphere,Software Services,"NPR 1,042,921–1,372,116",2025-08-10,2025-08-28,WFH
1032,Software Engineer,Data Science,"Nepalgunj, Lumbini Province, Nepal","['firebase', 'mongodb', 'monolithic apps', 'mysql', 'performance tuning', 'php', 'python', 'react', 'ruby on rails', 'scala', 'security best practices', 'vue']","['react', 'python', 'php']",bachelor of engineering in computer engineering,2,"Work on software engineer tasks, collaborate with teams, maintain code quality, and deliver features on time.",Contract,TechNepal Ltd,Web Development,"NPR 1,421,205–2,171,941",2025-08-02,2025-08-20,Onsite
1033,Frontend Engineer,Backend Team,"Bhaktapur, Province No. 1, Nepal","['ansible', 'azure', 'gcp', 'next.js', 'performance tuning', 'php', 'react', 'rest apis', 'ruby on rails', 'security best practices', 'sqlite']","['azure', 'sqlite', 'gcp']",diploma in it,3,"Work on frontend engineer tasks, collaborate with teams, maintain code quality, and deliver features on time.",Part-time,TechNepal Ltd,Software Services,"NPR 810,589–1,528,518",2025-08-04,2025-08-20,Onsite
1034,Data Scientist,Backend Team,"Dhangadhi, Bagmati Province, Nepal","['azure', 'django', 'firebase', 'ionic', 'monolithic apps', 'next.js', 'python', 'rest apis', 'rust', 'unit testing']","['django', 'next.js', 'azure']",bim,2,"Work on data scientist tasks, collaborate with teams, maintain code quality, and deliver features on time.",Contract,AppWorks Nepal,Data Analytics,"NPR 1,225,316–1,770,151",2025-08-02,2025-08-29,Hybrid
1035,Data Engineer,Mobile Apps,"Butwal, Province No. 1, Nepal","['aws', 'c#', 'ci/cd', 'go', 'integration testing', 'mysql', 'php', 'rest apis', 'ruby on rails', 'svelte']","['php', 'ruby on rails', 'c#']",master of business administration (technology),0,"Work on data engineer tasks, collaborate with teams, maintain code quality, and deliver features on time.",Contract,TechNepal Ltd,Mobile Development,"NPR 1,434,767–2,019,051",2025-08-10,2025-08-27,Onsite
1036,Frontend Engineer,Frontend Team,"Janakpur, Sudurpashchim Province, Nepal","['digitalocean', 'firebase', 'flutter', 'integration testing', 'material ui', 'mongodb', 'nuxt.js', 'performance tuning', 'ruby on rails', 'rust', 'scala', 'security best practices']","['rust', 'digitalocean', 'flutter']",bachelor of computer applications,2,"Work on frontend engineer tasks, collaborate with teams, maintain code quality, and deliver features on time.",Part-time,DataSphere,Data Analytics,"NPR 1,209,462–1,806,446",2025-08-04,2025-08-20,WFH
1037,Full Stack Engineer,Frontend Team,"Nepalgunj, Gandaki Province, Nepal","['django', 'firebase', 'go', 'mysql', 'react', 'ruby on rails', 'scaling', 'tdd', 'unit testing']","['django', 'mysql', 'firebase']",master of business administration (technology),13,"Work on full stack engineer tasks, collaborate with teams, maintain code quality, and deliver features on time.",Contract,SoftVision,Web Development,"NPR 1,041,151–1,508,169",2025-08-02,2025-08-25,WFH
1038,Full Stack Engineer,Frontend Team,"Dhangadhi, Madhesh Province, Nepal","['c#', 'dynamodb', 'gcp', 'graphql apis', 'laravel', 'mysql', 'performance tuning', 'php', 'postgresql', 'spring boot', 'svelte', 'tdd']","['c#', 'postgresql', 'php']",bim,15,"Work on full stack engineer tasks, collaborate with teams, maintain code quality, and deliver features on time.",Part-time,CodeWave,IT Consulting,"NPR 827,092–1,329,149",2025-08-04,2025-08-31,Hybrid
1039,Backend Engineer,Development,"Bara, Lumbini Province, Nepal","['ansible', 'digitalocean', 'graphql apis', 'integration testing', 'java', 'javascript', 'postgresql', 'react', 'ruby', 'ruby on rails', 'tdd']","['ruby on rails', 'postgresql', 'digitalocean']",bim,11,"Work on backend engineer tasks, collaborate with teams, maintain code quality, and deliver features on time.",Part-time,CodeWave,Mobile Development,"NPR 1,460,610–1,923,144",2025-08-07,2025-08-31,Hybrid
1040,Data Scientist,Data Science,"Dhangadhi, Gandaki Province, Nepal","['ci/cd', 'django', 'firebase', 'graphql apis', 'ionic', 'java', 'python', 'react native', 'sqlite', 'svelte', 'tdd']","['firebase', 'java', 'django']",bachelor of engineering in computer engineering,5,"Work on data scientist tasks, collaborate with teams, maintain code quality, and deliver features on time.",Full-time,TechNepal Ltd,Software Services,"NPR 852,925–1,298,629",2025-08-02,2025-08-17,Onsite
1041,Data Engineer,Mobile Apps,"Gorkha, Karnali Province, Nepal","['aws', 'ci/cd', 'django', 'kotlin', 'mongodb', 'performance tuning', 'react', 'rust', 'tdd']","['aws', 'django', 'react']",bachelor of science in computer science,10,"Work on data engineer tasks, collaborate with teams, maintain code quality, and deliver features on time.",Part-time,SoftVision,Mobile Development,"NPR 1,339,584–1,925,053",2025-08-04,2025-08-23,Onsite
1042,Backend Engineer,Mobile Apps,"Dharan, Gandaki Province, Nepal","['aws', 'firebase', 'integration testing', 'microservices', 'mongodb', 'next.js', 'spring boot', 'tdd', 'typescript']","['firebase', 'spring boot', 'next.js']",master of business administration (technology),6,"Work on backend engineer tasks, collaborate with teams, maintain code quality, and deliver features on time.",Part-time,DataSphere,Mobile Development,"NPR 1,282,389–1,647,162",2025-08-10,2025-08-27,Hybrid
1043,Full Stack Engineer,Development,"Lalitpur, Bagmati Province, Nepal","['azure', 'jenkins', 'node.js', 'ruby on rails', 'scaling', 'security best practices', 'sqlite', 'tdd', 'typescript', 'vue']","['ruby on rails', 'vue', 'azure']",master of technology,6,"Work on full stack engineer tasks, collaborate with teams, maintain code quality, and deliver features on time.",Contract,SoftVision,Mobile Development,"NPR 1,101,835–1,547,706",2025-08-04,2025-09-01,Onsite
1044,Backend Engineer,Development,"Dang, Bagmati Province, Nepal","['heroku', 'integration testing', 'java', 'next.js', 'scaling', 'spring boot', 'sqlite', 'unit testing']","['sqlite', 'spring boot', 'heroku']",bachelor of science in computer science,5,"Work on backend engineer tasks, collaborate with teams, maintain code quality, and deliver features on time.",Contract,AppWorks Nepal,IT Consulting,"NPR 1,355,105–1,719,600",2025-08-04,2025-08-19,WFH
1045,DevOps Engineer,Backend Team,"Bara, Karnali Province, Nepal","['django', 'docker', 'firebase', 'flutter', 'heroku', 'postgresql', 'scaling', 'security best practices', 'svelte', 'tdd', 'typescript', 'vue']","['svelte', 'firebase', 'django']",master of science in it,11,"Work on devops engineer tasks, collaborate with teams, maintain code quality, and deliver features on time.",Part-time,DataSphere,Data Analytics,"NPR 1,331,152–1,596,737",2025-08-10,2025-09-04,WFH
1046,Mobile Developer,Development,"Bara, Lumbini Province, Nepal","['.net core', 'angular', 'azure', 'ci/cd', 'laravel', 'performance tuning', 'php', 'postgresql', 'sqlite', 'tdd']","['postgresql', 'angular', 'sqlite']",master of business administration (technology),1,"Work on mobile developer tasks, collaborate with teams, maintain code quality, and deliver features on time.",Contract,AppWorks Nepal,Data Analytics,"NPR 1,401,249–1,950,522",2025-08-03,2025-08-30,Onsite
1047,Full Stack Engineer,Mobile Apps,"Itahari, Lumbini Province, Nepal","['aws', 'c#', 'cockroachdb', 'docker', 'dynamodb', 'node.js', 'nuxt.js', 'performance tuning', 'rest apis', 'tdd']","['node.js', 'aws', 'nuxt.js']",bachelor of engineering in computer engineering,10,"Work on full stack engineer tasks, collaborate with teams, maintain code quality, and deliver features on time.",Contract,CodeWave,IT Consulting,"NPR 1,211,283–1,943,715",2025-08-08,2025-08-27,Onsite
1048,DevOps Engineer,Data Science,"Bhaktapur, Gandaki Province, Nepal","['angular', 'dynamodb', 'flask', 'gcp', 'integration testing', 'kubernetes', 'microservices', 'mongodb', 'python', 'redux', 'security best practices', 'vue']","['python', 'vue', 'redux']",master of science in it,2,"Work on devops engineer tasks, collaborate with teams, maintain code quality, and deliver features on time.",Part-time,DataSphere,IT Consulting,"NPR 1,488,648–2,161,955",2025-08-05,2025-09-03,WFH
1049,Frontend Engineer,Mobile Apps,"Chitwan, Madhesh Province, Nepal","['digitalocean', 'flask', 'graphql apis', 'nuxt.js', 'performance tuning', 'sqlite', 'typescript', 'unit testing']","['nuxt.js', 'digitalocean', 'sqlite']",bachelor of engineering in computer engineering,4,"Work on frontend engineer tasks, collaborate with teams, maintain code quality, and deliver features on time.",Part-time,SoftVision,IT Consulting,"NPR 1,223,599–1,425,018",2025-08-02,2025-08-24,WFH
1050,Data Scientist,Development,"Pokhara, Lumbini Province, Nepal","['angular', 'aws', 'graphql apis', 'grpc', 'integration testing', 'mongodb', 'node.js', 'rest apis', 'rust']","['aws', 'rust', 'grpc']",master of science in it,12,"Work on data scientist tasks, collaborate with teams, maintain code quality, and deliver features on time.",Full-time,DataSphere,Mobile Development,"NPR 1,057,316–1,483,622",2025-08-08,2025-09-01,Onsite
1051,Backend Engineer,Development,"Gorkha, Bagmati Province, Nepal","['angular', 'express.js', 'firebase', 'graphql apis', 'kubernetes', 'mongodb', 'monolithic apps', 'python', 'rest apis', 'scala']","['express.js', 'firebase', 'python']",master of business administration (technology),0,"Work on backend engineer tasks, collaborate with teams, maintain code quality, and deliver features on time.",Full-time,AppWorks Nepal,Software Services,"NPR 952,658–1,565,068",2025-08-04,2025-08-24,WFH
1052,Product Engineer,Data Science,"Chitwan, Madhesh Province, Nepal","['ci/cd', 'cockroachdb', 'graphql', 'heroku', 'javascript', 'microservices', 'react native', 'ruby on rails', 'rust', 'scaling', 'svelte']","['react native', 'javascript', 'graphql']",self-taught,13,"Work on product engineer tasks, collaborate with teams, maintain code quality, and deliver features on time.",Full-time,SoftVision,Mobile Development,"NPR 951,066–1,439,081",2025-08-03,2025-09-01,Onsite
1053,Mobile Developer,Frontend Team,"Pokhara, Province No. 1, Nepal","['ci/cd', 'cockroachdb', 'flask', 'go', 'heroku', 'rest', 'security best practices', 'tdd', 'vue']","['cockroachdb', 'go', 'heroku']",bachelor of computer applications,2,"Work on mobile developer tasks, collaborate with teams, maintain code quality, and deliver features on time.",Contract,TechNepal Ltd,Data Analytics,"NPR 998,129–1,399,773",2025-08-09,2025-08-30,WFH
1054,QA Engineer,Backend Team,"Kathmandu, Lumbini Province, Nepal","['ansible', 'firebase', 'flask', 'graphql apis', 'microservices', 'mongodb', 'monolithic apps', 'rust', 'svelte']","['mongodb', 'firebase', 'flask']",bachelor of science in computer science,9,"Work on qa engineer tasks, collaborate with teams, maintain code quality, and deliver features on time.",Contract,SoftVision,Software Services,"NPR 1,472,640–2,171,250",2025-08-05,2025-08-30,WFH
1055,Full Stack Engineer,Frontend Team,"Biratnagar, Bagmati Province, Nepal","['django', 'dynamodb', 'firebase', 'flask', 'gcp', 'nuxt.js', 'performance tuning', 'php', 'scaling', 'typescript', 'unit testing']","['flask', 'typescript', 'django']",diploma in it,14,"Work on full stack engineer tasks, collaborate with teams, maintain code quality, and deliver features on time.",Full-time,TechNepal Ltd,Software Services,"NPR 944,882–1,630,101",2025-08-06,2025-08-23,WFH
1056,Mobile Developer,Backend Team,"Bhaktapur, Madhesh Province, Nepal","['.net core', 'angular', 'digitalocean', 'next.js', 'postgresql', 'rest apis', 'scala', 'tdd', 'unit testing']","['next.js', 'angular', '.net core']",diploma in it,0,"Work on mobile developer tasks, collaborate with teams, maintain code quality, and deliver features on time.",Part-time,TechNepal Ltd,IT Consulting,"NPR 1,433,061–2,190,287",2025-08-08,2025-09-05,Onsite
1057,Product Engineer,Data Science,"Chitwan, Province No. 1, Nepal","['aws', 'fastapi', 'firebase', 'ionic', 'kotlin', 'monolithic apps', 'next.js', 'scala', 'scaling', 'unit testing']","['firebase', 'kotlin', 'ionic']",master of science in it,5,"Work on product engineer tasks, collaborate with teams, maintain code quality, and deliver features on time.",Contract,CodeWave,Web Development,"NPR 1,356,317–1,852,513",2025-08-05,2025-08-25,WFH
1058,DevOps Engineer,Development,"Dharan, Lumbini Province, Nepal","['angular', 'express.js', 'firebase', 'flask', 'monolithic apps', 'mysql', 'next.js', 'performance tuning', 'scala', 'swift', 'unit testing']","['angular', 'mysql', 'express.js']",bachelor of engineering in computer engineering,13,"Work on devops engineer tasks, collaborate with teams, maintain code quality, and deliver features on time.",Full-time,DataSphere,Web Development,"NPR 917,477–1,193,896",2025-08-06,2025-08-27,Hybrid
1059,Data Engineer,Frontend Team,"Mahendranagar, Province No. 1, Nepal","['digitalocean', 'elasticsearch', 'express.js', 'go', 'graphql apis', 'performance tuning', 'scaling', 'sqlite', 'svelte']","['digitalocean', 'sqlite', 'svelte']",master of technology,2,"Work on data engineer tasks, collaborate with teams, maintain code quality, and deliver features on time.",Contract,CodeWave,Web Development,"NPR 1,170,440–1,445,346",2025-08-08,2025-08-29,WFH
1060,Full Stack Engineer,Development,"Bhaktapur, Bagmati Province, Nepal","['aws', 'dynamodb', 'go', 'microservices', 'ruby', 'scaling', 'svelte', 'unit testing']","['go', 'dynamodb', 'aws']",master of science in it,12,"Work on full stack engineer tasks, collaborate with teams, maintain code quality, and deliver features on time.",Part-time,TechNepal Ltd,IT Consulting,"NPR 1,273,182–1,642,285",2025-08-02,2025-08-22,WFH
1061,Mobile Developer,Development,"Dang, Sudurpashchim Province, Nepal","['heroku', 'microservices', 'node.js', 'postgresql', 'rest apis', 'ruby on rails', 'rust', 'svelte', 'tdd']","['ruby on rails', 'node.js', 'rust']",master of business administration (technology),4,"Work on mobile developer tasks, collaborate with teams, maintain code quality, and deliver features on time.",Contract,CodeWave,Software Services,"NPR 1,477,179–1,974,310",2025-08-03,2025-08-18,Onsite
1062,Software Engineer,Development,"Dhangadhi, Gandaki Province, Nepal","['angular', 'ci/cd', 'dynamodb', 'gcp', 'go', 'java', 'nuxt.js', 'ruby', 'scaling', 'unit testing']","['go', 'gcp', 'angular']",bachelor of computer applications,9,"Work on software engineer tasks, collaborate with teams, maintain code quality, and deliver features on time.",Part-time,SoftVision,IT Consulting,"NPR 1,368,613–1,645,541",2025-08-04,2025-08-22,WFH
